iter	Passed	Remaining
623	8262	4978
624	8274	4964
625	8286	4950
626	8298	4936
627	8310	4923
628	8322	4908
629	8335	4895
630	8347	4881
631	8359	4867
632	8371	4853
633	8383	4839
634	8395	4825
635	8407	4811
636	8419	4797
637	8429	4783
638	8442	4769
639	8453	4755
640	8465	4741
641	8477	4727
642	8488	4713
643	8501	4699
644	8513	4685
645	8526	4672
646	8538	4658
647	8550	4644
648	8561	4630
649	8574	4616
650	8585	4602
651	8598	4589
652	8610	4575
653	8621	4561
654	8634	4547
655	8646	4534
656	8658	4520
657	8670	4506
658	8682	4492
659	8694	4479
660	8706	4465
661	8719	4451
662	8731	4438
663	8743	4424
664	8754	4410
665	8766	4396
666	8778	4382
667	8790	4369
668	8802	4355
669	8815	4341
670	8826	4327
671	8838	4314
672	8850	4300
673	8862	4286
674	8874	4272
675	8886	4259
676	8897	4245
677	8909	4231
678	8921	4217
679	8933	4203
680	8945	4190
681	8960	4178
682	8972	4164
683	8983	4150
684	8995	4136
685	9008	4123
686	9020	4109
687	9031	4095
688	9042	4081
689	9054	4068
690	9066	4054
691	9078	4040
692	9090	4027
693	9102	4013
694	9113	3999
695	9125	3985
696	9138	3972
697	9149	3958
698	9161	3945
699	9173	3931
700	9185	3917
701	9196	3904
702	9209	3890
703	9220	3876
704	9233	3863
705	9245	3850
706	9257	3836
707	9269	3822
708	9281	3809
709	9293	3796
710	9305	3782
711	9317	3768
712	9329	3755
713	9341	3741
714	9353	3728
715	9365	3714
716	9376	3701
717	9389	3687
718	9400	3673
719	9412	3660
720	9424	3646
721	9436	3633
722	9448	3620
723	9460	3606
724	9471	3592
725	9483	3579
726	9495	3565
727	9508	3552
728	9520	3539
729	9532	3525
730	9544	3512
731	9556	3498
732	9568	3485
733	9580	3471
734	9592	3458
735	9603	3444
736	9615	3431
737	9627	3418
738	9639	3404
739	9651	3390
740	9663	3377
741	9674	3364
742	9687	3350
743	9698	3337
744	9711	3323
745	9722	3310
746	9734	3297
747	9746	3283
748	9758	3270
749	9770	3256
750	9782	3243
751	9794	3230
752	9806	3216
753	9818	3203
754	9830	3189
755	9842	3176
756	9854	3163
757	9865	3149
758	9877	3136
759	9889	3122
760	9901	3109
761	9913	3096
762	9925	3083
763	9937	3069
764	9948	3056
765	9960	3042
766	9972	3029
767	9984	3016
768	9998	3003
769	10009	2989
770	10020	2976
771	10032	2963
772	10044	2949
773	10055	2936
774	10068	2923
775	10080	2909
776	10092	2896
777	10104	2883
778	10116	2869
779	10128	2856
780	10139	2843
781	10151	2829
782	10163	2816
783	10175	2803
784	10189	2790
785	10203	2778
786	10227	2767
787	10250	2757
788	10271	2746
789	10289	2735
790	10307	2723
791	10323	2711
792	10337	2698
793	10351	2685
794	10365	2672
795	10377	2659
796	10389	2646
797	10405	2633
798	10416	2620
799	10427	2606
800	10439	2593
801	10453	2580
802	10465	2567
803	10478	2554
804	10489	2540
805	10501	2527
806	10515	2514
807	10532	2502
808	10550	2490
809	10567	2478
810	10583	2466
811	10598	2453
812	10613	2441
813	10629	2428
814	10645	2416
815	10660	2403
816	10673	2390
817	10685	2377
818	10698	2364
819	10711	2351
820	10724	2338
821	10741	2326
822	10757	2313
823	10768	2300
824	10780	2286
825	10792	2273
826	10805	2260
827	10817	2247
828	10828	2233
829	10840	2220
830	10852	2207
831	10864	2193
832	10876	2180
833	10888	2167
834	10900	2154
835	10912	2140
836	10924	2127
837	10937	2114
838	10949	2101
839	10963	2088
840	10974	2074
841	10986	2061
842	10998	2048
843	11011	2035
844	11023	2022
845	11036	2009
846	11048	1995
847	11060	1982
848	11074	1969
849	11086	1956
850	11104	1944
851	11119	1931
852	11132	1918
853	11148	1905
854	11161	1892
855	11174	1879
856	11190	1867
857	11204	1854
858	11217	1841
859	11229	1828
860	11242	1814
861	11257	1802
862	11270	1789
863	11282	1775
864	11294	1762
865	11306	1749
866	11318	1736
867	11330	1723
868	11342	1709
869	11354	1696
870	11366	1683
871	11378	1670
872	11391	1657
873	11403	1643
874	11415	1630
875	11427	1617
876	11440	1604
877	11452	1591
878	11465	1578
879	11476	1565
880	11488	1551
881	11500	1538
882	11512	1525
883	11525	1512
884	11537	1499
885	11549	1486
886	11561	1472
887	11573	1459
888	11585	1446
889	11597	1433
890	11609	1420
891	11622	1407
892	11634	1394
893	11646	1380
894	11658	1367
895	11671	1354
896	11683	1341
897	11695	1328
898	11707	1315
899	11723	1302
900	11736	1289
901	11748	1276
902	11761	1263
903	11773	1250
904	11785	1237
905	11797	1224
906	11810	1210
907	11822	1197
908	11834	1184
909	11846	1171
910	11858	1158
911	11870	1145
912	11882	1132
913	11895	1119
914	11907	1106
915	11920	1093
916	11931	1079
917	11944	1066
918	11956	1053
919	11968	1040
920	11980	1027
921	11992	1014
922	12003	1001
923	12015	988
924	12027	975
925	12040	962
926	12052	949
927	12064	936
928	12076	922
929	12090	910
930	12103	897
931	12115	883
932	12127	870
933	12140	857
934	12152	844
935	12164	831
936	12176	818
937	12187	805
938	12200	792
939	12211	779
940	12223	766
941	12235	753
942	12247	740
943	12259	727
944	12271	714
945	12283	701
946	12294	688
947	12306	675
948	12319	662
949	12331	649
950	12343	635
951	12355	622
952	12367	609
953	12379	596
954	12391	583
955	12403	570
956	12416	557
957	12427	544
958	12441	531
959	12452	518
960	12464	505
961	12476	492
962	12487	479
963	12499	466
964	12511	453
965	12523	440
966	12535	427
967	12548	414
968	12559	401
969	12571	388
970	12582	375
971	12594	362
972	12606	349
973	12618	336
974	12630	323
975	12642	310
976	12654	297
977	12666	284
978	12678	271
979	12690	258
980	12702	246
981	12714	233
982	12725	220
983	12737	207
984	12749	194
985	12760	181
986	12772	168
987	12784	155
988	12796	142
989	12808	129
990	12820	116
991	12831	103
992	12843	90
993	12855	77
994	12867	64
995	12879	51
996	12891	38
997	12903	25
998	12914	12
999	12927	0
